ENUM STRING	VALUE	Matlab Accessor
'H5P_DATATYPE_ACCESS'	150994958	
'H5P_DATATYPE_CREATE'	150994957	
'H5P_DEFAULT'	0	
'H5P_FILE_ACCESS'	150994952	
'H5P_FILE_ACCESS_DEFAULT'	167772165	
'H5P_FILE_CREATE'	150994951	
'H5P_FILE_CREATE_DEFAULT'	167772164	
'H5P_FILE_MOUNT'	150994956	
'H5P_GROUP_ACCESS'	150994950	
'H5P_GROUP_CREATE'	150994948	
'H5P_LINK_ACCESS'	150994947	
'H5P_LINK_CREATE'	150994960	
'H5P_NO_CLASS'	150994944	
'H5P_OBJECT_COPY'	150994949	
'H5P_OBJECT_CREATE'	150994945	
'H5P_STRING_CREATE'	150994946	
'H5R_BADTYPE'	-1	
'H5R_DATASET_REGION'	1	
'H5R_DSET_REG_REF_BUF_SIZE'	12	
'H5R_MAXTYPE'	2	
'H5R_OBJECT'	0	
'H5R_OBJ_REF_BUF_SIZE'	8	
'H5S_ALL'	0	
'H5S_MAX_RANK'	32	
'H5S_NO_CLASS'	-1	
'H5S_NULL'	2	
'H5S_SCALAR'	0	
'H5S_SELECT_AND'	2	
'H5S_SELECT_APPEND'	6	
'H5S_SELECT_INVALID'	8	
'H5S_SELECT_NOOP'	-1	
'H5S_SELECT_NOTA'	5	
'H5S_SELECT_NOTB'	4	
'H5S_SELECT_OR'	1	
'H5S_SELECT_PREPEND'	7	
'H5S_SELECT_SET'	0	
'H5S_SELECT_XOR'	3	
'H5S_SEL_ALL'	3	
'H5S_SEL_ERROR'	-1	
'H5S_SEL_HYPERSLABS'	2	
'H5S_SEL_N'	4	
'H5S_SEL_NONE'	0	
'H5S_SEL_POINTS'	1	
'H5S_SIMPLE'	1	
'H5S_UNLIMITED'	-1	
'H5T_ALPHA_B16'	50331710	
'H5T_ALPHA_B32'	50331712	
'H5T_ALPHA_B64'	50331714	
'H5T_ALPHA_B8'	50331708	
'H5T_ALPHA_F32'	50331686	
'H5T_ALPHA_F64'	50331688	
'H5T_ALPHA_I16'	50331694	
'H5T_ALPHA_I32'	50331696	
'H5T_ALPHA_I64'	50331698	
'H5T_ALPHA_I8'	50331692	
'H5T_ALPHA_U16'	50331702	
'H5T_ALPHA_U32'	50331704	
'H5T_ALPHA_U64'	50331706	
'H5T_ALPHA_U8'	50331700	
'H5T_ARRAY'	10	
'H5T_BITFIELD'	4	
'H5T_BKG_NO'	0	
'H5T_BKG_TEMP'	1	
'H5T_BKG_YES'	2	
'H5T_COMPOUND'	6	
'H5T_CONV_CONV'	1	
'H5T_CONV_FREE'	2	
'H5T_CONV_INIT'	0	
'H5T_CSET_ASCII'	0	
'H5T_CSET_ERROR'	-1	
'H5T_CSET_RESERVED_10'	10	
'H5T_CSET_RESERVED_11'	11	
'H5T_CSET_RESERVED_12'	12	
'H5T_CSET_RESERVED_13'	13	
'H5T_CSET_RESERVED_14'	14	
'H5T_CSET_RESERVED_15'	15	
'H5T_CSET_RESERVED_2'	2	
'H5T_CSET_RESERVED_3'	3	
'H5T_CSET_RESERVED_4'	4	
'H5T_CSET_RESERVED_5'	5	
'H5T_CSET_RESERVED_6'	6	
'H5T_CSET_RESERVED_7'	7	
'H5T_CSET_RESERVED_8'	8	
'H5T_CSET_RESERVED_9'	9	
'H5T_CSET_UTF8'	1	
'H5T_C_S1'	50331721	
'H5T_DIR_ASCEND'	1	
'H5T_DIR_DEFAULT'	0	
'H5T_DIR_DESCEND'	2	
'H5T_ENUM'	8	
'H5T_FLOAT'	1	
'H5T_FORTRAN_S1'	50331722	
'H5T_IEEE_F32BE'	50331687	
'H5T_IEEE_F32LE'	50331686	
'H5T_IEEE_F64BE'	50331689	
'H5T_IEEE_F64LE'	50331688	
'H5T_INTEGER'	0	
'H5T_INTEL_B16'	50331710	
'H5T_INTEL_B32'	50331712	
'H5T_INTEL_B64'	50331714	
'H5T_INTEL_B8'	50331708	
'H5T_INTEL_F32'	50331686	
'H5T_INTEL_F64'	50331688	
'H5T_INTEL_I16'	50331694	
'H5T_INTEL_I32'	50331696	
'H5T_INTEL_I64'	50331698	
'H5T_INTEL_I8'	50331692	
'H5T_INTEL_U16'	50331702	
'H5T_INTEL_U32'	50331704	
'H5T_INTEL_U64'	50331706	
'H5T_INTEL_U8'	50331700	
'H5T_MIPS_B16'	50331711	
'H5T_MIPS_B32'	50331713	
'H5T_MIPS_B64'	50331715	
'H5T_MIPS_B8'	50331709	
'H5T_MIPS_F32'	50331687	
'H5T_MIPS_F64'	50331689	
'H5T_MIPS_I16'	50331695	
'H5T_MIPS_I32'	50331697	
'H5T_MIPS_I64'	50331699	
'H5T_MIPS_I8'	50331693	
'H5T_MIPS_U16'	50331703	
'H5T_MIPS_U32'	50331705	
'H5T_MIPS_U64'	50331707	
'H5T_MIPS_U8'	50331701	
'H5T_NATIVE_B16'	50331678	
'H5T_NATIVE_B32'	50331679	
'H5T_NATIVE_B64'	50331680	
'H5T_NATIVE_B8'	50331677	
'H5T_NATIVE_CHAR'	50331656	
'H5T_NATIVE_DOUBLE'	50331675	
'H5T_NATIVE_FLOAT'	50331674	
'H5T_NATIVE_HADDR'	50331681	
'H5T_NATIVE_HBOOL'	50331685	
'H5T_NATIVE_HERR'	50331684	
'H5T_NATIVE_HSIZE'	50331682	
'H5T_NATIVE_HSSIZE'	50331683	
'H5T_NATIVE_INT'	50331660	
'H5T_NATIVE_INT16'	50331666	
'H5T_NATIVE_INT32'	50331668	
'H5T_NATIVE_INT64'	50331670	
'H5T_NATIVE_INT8'	50331664	
'H5T_NATIVE_INT_FAST16'	-1	
'H5T_NATIVE_INT_FAST32'	-1	
'H5T_NATIVE_INT_FAST64'	-1	
'H5T_NATIVE_INT_FAST8'	-1	
'H5T_NATIVE_INT_LEAST16'	-1	
'H5T_NATIVE_INT_LEAST32'	-1	
'H5T_NATIVE_INT_LEAST64'	-1	
'H5T_NATIVE_INT_LEAST8'	-1	
'H5T_NATIVE_LDOUBLE'	50331676	
'H5T_NATIVE_LLONG'	50331672	
'H5T_NATIVE_LONG'	50331662	
'H5T_NATIVE_OPAQUE'	50331720	
'H5T_NATIVE_SCHAR'	50331656	
'H5T_NATIVE_SHORT'	50331658	
'H5T_NATIVE_UCHAR'	50331657	
'H5T_NATIVE_UINT'	50331661	
'H5T_NATIVE_UINT16'	50331667	
'H5T_NATIVE_UINT32'	50331669	
'H5T_NATIVE_UINT64'	50331671	
'H5T_NATIVE_UINT8'	50331665	
'H5T_NATIVE_UINT_FAST16'	-1	
'H5T_NATIVE_UINT_FAST32'	-1	
'H5T_NATIVE_UINT_FAST64'	-1	
'H5T_NATIVE_UINT_FAST8'	-1	
'H5T_NATIVE_UINT_LEAST16'	-1	
'H5T_NATIVE_UINT_LEAST32'	-1	
'H5T_NATIVE_UINT_LEAST64'	-1	
